ma_xa,ten_xa,ma_huyen,ma_tinh,am_name,am_phone,buu_cuc_ma,buu_cuc_ten,nhan_vien,sl_lay,sl_giao
12070,Xã Hoàn Long,,,,,21493000,Bưu Cục DT 376-Ngọc Long-Yên Mỹ-Hưng Yên,,,
12058,Xã Nghĩa Hiệp,,,,,21493000,Bưu Cục DT 376-Ngọc Long-Yên Mỹ-Hưng Yên,,,
12067,Xã Liêu Xá,,,,,21493000,Bưu Cục DT 376-Ngọc Long-Yên Mỹ-Hưng Yên,,,
12064,Xã Nguyễn Văn Linh,,,,,21493000,Bưu Cục DT 376-Ngọc Long-Yên Mỹ-Hưng Yên,,,
12055,Xã Giai Phạm,,,,,21493000,Bưu Cục DT 376-Ngọc Long-Yên Mỹ-Hưng Yên,,,
12073,Xã Tân Lập,,,,,21493000,Bưu Cục DT 376-Ngọc Long-Yên Mỹ-Hưng Yên,,,
12064,Xã Ngọc Long,,,,,21493000,Bưu Cục DT 376-Ngọc Long-Yên Mỹ-Hưng Yên,,,
12061,Xã Đồng Than,,,,,21493000,Bưu Cục DT 376-Ngọc Long-Yên Mỹ-Hưng Yên,,,
12208,Xã Đông Tảo,,,,,21493000,Bưu Cục DT 376-Ngọc Long-Yên Mỹ-Hưng Yên,,,
12460,Phường Hoàng Diệu,,,,,21476000,Bưu Cục 176 Nguyễn Đức Cảnh-Hoàng Diệu-Thái Bình,,,
12817,Xã Đông Mỹ,,,,,21476000,Bưu Cục 176 Nguyễn Đức Cảnh-Hoàng Diệu-Thái Bình,,,
12451,Phường Tiền Phong,,,,,21476000,Bưu Cục 176 Nguyễn Đức Cảnh-Hoàng Diệu-Thái Bình,,,
12820,Xã Đông Thọ,,,,,21476000,Bưu Cục 176 Nguyễn Đức Cảnh-Hoàng Diệu-Thái Bình,,,
12436,Phường Bồ Xuyên,,,,,21476000,Bưu Cục 176 Nguyễn Đức Cảnh-Hoàng Diệu-Thái Bình,,,
13225,Xã Tân Bình,,,,,21476000,Bưu Cục 176 Nguyễn Đức Cảnh-Hoàng Diệu-Thái Bình,,,
12442,Phường Kỳ Bá,,,,,21476000,Bưu Cục 176 Nguyễn Đức Cảnh-Hoàng Diệu-Thái Bình,,,
12433,Phường Lê Hồng Phong,,,,,21476000,Bưu Cục 176 Nguyễn Đức Cảnh-Hoàng Diệu-Thái Bình,,,
12457,Xã Đông Hòa,,,,,21476000,Bưu Cục 176 Nguyễn Đức Cảnh-Hoàng Diệu-Thái Bình,,,
12085,Xã Trung Hòa,,,,,21493000,Bưu Cục DT 376-Ngọc Long-Yên Mỹ-Hưng Yên,,,
12223,Xã Tân Dân,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12274,Xã Thành Công,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12244,Xã Hồng Tiến,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
01699,Xã Nguyễn Huệ,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12268,Xã Đại Hưng,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12226,Xã Tứ Dân,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12229,Xã An Vĩ,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12265,Xã Chí Tân,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12238,Xã Dân Tiến,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12235,Xã Bình Kiều,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12250,Xã Liên Khê,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12214,Xã Dạ Trạch,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
