ghn_ward_id,ma_xa,ten_xa,ghn_district_id,ten_huyen,ghn_province_id,ten_tinh,region,buu_cuc_ma,buu_cuc_ten,am_name,am_phone,nhan_vien,sl_lay,sl_giao
460801,25654,Thị trấn Gò Dầu,1866,Huyện Gò Dầu,240,Tây Ninh,DNB,20725000,Bưu Cục 156 Quốc Lộ 22-Gò Dầu-Tây Ninh,,,,,
91415,,Xã Mỹ Tân,1613,Thành phố Nam Định,231,Nam Định,TNT,21509000,Bưu Cục Quốc lộ 21B-Mỹ Hưng-Mỹ Lộc-Nam Định,,,,,
401511,24328,Xã Ea Drông,1788,Thị xã Buôn Hồ,210,Đắk Lắk,TNG,20600000,Bưu Cục 204 Trần Hưng Đạo-Buôn Hồ-Đắk Lắk,,,,,
401505,24322,Phường Đoàn Kết,1788,Thị xã Buôn Hồ,210,Đắk Lắk,TNG,20600000,Bưu Cục 204 Trần Hưng Đạo-Buôn Hồ-Đắk Lắk,,,,,
630503,24718,Xã Đắk Môl,2120,Huyện Đắk Song,241,Đắk Nông,NTB,21477000,Bưu Cục Quốc Lộ 14-Đức An-Đắk Song-Đăk Nông,,,,,
630501,24717,Thị trấn Đức An,2120,Huyện Đắk Song,241,Đắk Nông,NTB,21477000,Bưu Cục Quốc Lộ 14-Đức An-Đắk Song-Đăk Nông,,,,,
481108,26353,Xã Xuân Bảo,1702,Huyện Cẩm Mỹ,204,Đồng Nai,DNB,21352000,Bưu Cục Xã Long Giao-Cẩm Mỹ-Đồng Nai,,,,,
481104,26335,Xã Nhân Nghĩa,1702,Huyện Cẩm Mỹ,204,Đồng Nai,DNB,21352000,Bưu Cục Xã Long Giao-Cẩm Mỹ-Đồng Nai,,,,,
250210,13714,Xã Mỹ Tiến,1981,Huyện Mỹ Lộc,231,Nam Định,TNT,21509000,Bưu Cục Quốc lộ 21B-Mỹ Hưng-Mỹ Lộc-Nam Định,,,,,
480707,26461,Xã Xuân Định,1704,Huyện Xuân Lộc,204,Đồng Nai,DNB,20756000,Bưu Cục Ấp Việt Kiều QL1A-Xuân Lộc-Đồng Nai,,,,,
91418,,Xã Mỹ Lộc,1613,Thành phố Nam Định,231,Nam Định,TNT,21509000,Bưu Cục Quốc lộ 21B-Mỹ Hưng-Mỹ Lộc-Nam Định,,,,,
481101,26350,Xã Bảo Bình,1702,Huyện Cẩm Mỹ,204,Đồng Nai,DNB,21352000,Bưu Cục Xã Long Giao-Cẩm Mỹ-Đồng Nai,,,,,
481110,26338,Xã Xuân Đường,1702,Huyện Cẩm Mỹ,204,Đồng Nai,DNB,21352000,Bưu Cục Xã Long Giao-Cẩm Mỹ-Đồng Nai,,,,,
91414,,Xã Mỹ Trung,1613,Thành phố Nam Định,231,Nam Định,TNT,21509000,Bưu Cục Quốc lộ 21B-Mỹ Hưng-Mỹ Lộc-Nam Định,,,,,
